config_id,status,config.batch_size,config.epochs,config.learning_rate,config.optimizer,config.scheduler_gamma,config.scheduler_step_size,config.weight_decay,metadata.account_for_cost,metadata.eval_cost,metadata.max,metadata.time_end,metadata.time_sampled,metadata.used,result.cost,result.loss,result.info_dict.cost,result.info_dict.train_accuracies,result.info_dict.train_losses,result.info_dict.train_time,result.info_dict.val_accuracies,result.info_dict.val_losses
258_1,complete,46.0,20.0,0.006364919561013377,adam,0.5363691814517186,418.0,0.00013028352918758183,True,371.9956042766571,82800.0,1722757972.041773,1722757599.5866828,74188.54940605164,371.9956042766571,0.45658734825349623,20.0,"[0.6612700783326978, 0.766401938239082, 0.7931473475010669, 0.8192309175358444, 0.8414876504999692, 0.8574738028596659, 0.8577368430426864, 0.8796711388181467, 0.8957081994072336, 0.8840749644842304, 0.8983471022277582, 0.9176255151873729, 0.9160048394906716, 0.9220802539684734, 0.9340189548789478, 0.9361741992293812, 0.9365475490444997, 0.9375827459038281, 0.9356226603515813, 0.9439975697486127]","[0.9233928000340696, 0.6365646993527647, 0.5935459518041767, 0.4998054875702154, 0.4087653853854195, 0.38663209425132783, 0.3823835175545489, 0.3164608313656244, 0.2750133917224212, 0.29992917009064407, 0.2693849270705317, 0.2251030250040234, 0.22013801397358784, 0.21108634043179575, 0.1862217409261426, 0.1776794574727289, 0.16728941509958173, 0.15958336221634364, 0.17143431650932694, 0.1513137764251623]",371.9956042766571,"[0.6390411930699502, 0.7608058241105848, 0.5844702384164256, 0.720642622440092, 0.742445501589006, 0.8098941887578657, 0.7796124027621362, 0.7599770542114012, 0.7544307093466481, 0.7782736286040275, 0.8112329629159742, 0.8350758840960841, 0.7734285439214399, 0.828127009253348, 0.8358408924072019, 0.8281270111760786, 0.8393472106226029, 0.8435547832519777, 0.8400484746502291, 0.8491648800911442]","[0.9895327841081927, 0.6634468484309411, 1.215839014899346, 0.7020223842513177, 0.745490409674183, 0.5518136168679884, 0.5776183537898525, 0.6823468405392862, 0.6403900423357564, 0.6560057055565619, 0.5208639194888454, 0.4682836205728592, 0.6288328473606417, 0.48375289406507244, 0.4719619428919208, 0.4882009877793251, 0.48857027244183326, 0.48553342924964044, 0.48261762530572955, 0.45658734825349623]"
235_1,complete,51.0,20.0,0.0013509448578525069,adamw,0.8717444371842625,60.0,0.04479630294430232,True,253.53554368019104,82800.0,1722752060.6419868,1722751806.7354221,68442.35471177101,253.53554368019104,0.45860573343400446,14.0,"[0.9463240227916024, 0.9718287765979767, 0.9769908346913078, 0.9828804563392293, 0.9885918275876479, 0.9884135733951221, 0.9384736071933399, 0.9425952597097917, 0.9400924390012567, 0.9457747139713981, 0.9482920863411644, 0.9522136536511507, 0.9479428573088212, 0.9523773588917472]","[0.12863924970681018, 0.07123001451519402, 0.0526474220212549, 0.044068695069290696, 0.030816323115405712, 0.02662039916189811, 0.1608625695786693, 0.15541038777340543, 0.15372726134955883, 0.1397027556191791, 0.13638438135385514, 0.12836396209895612, 0.13425487051294607, 0.12220204729925502]",253.53554368019104,"[0.8382353058883122, 0.8151260614395142, 0.8165266215801239, 0.843137264251709, 0.8228011301585606, 0.8382353037595749, 0.8564425855875015, 0.8550420254468918, 0.8522409051656723, 0.850140067083495, 0.8466386646032333, 0.8494397848844528, 0.8543417453765869, 0.8669467887708119]","[0.5137359779328108, 0.5878011967454638, 0.558009567537478, 0.5583781677165202, 0.6516316942870617, 0.5971643076544362, 0.48725667629124864, 0.49147155741229653, 0.4769134566720043, 0.46768575520919903, 0.4801246384823961, 0.46718214811491116, 0.472423835657537, 0.45860573343400446]"
278_1,complete,31.0,20.0,0.0007421226958939255,adamw,0.6876757885638607,305.0,5.3715119725459015e-05,True,367.2595064640045,82800.0,1722763482.944405,1722763115.2418885,79652.4329366684,367.2595064640045,0.459579205494779,20.0,"[0.663441688974918, 0.7922575327243594, 0.837703975853999, 0.8698411033957044, 0.8869694468066178, 0.8990694060510035, 0.9076240257005006, 0.9167324097117008, 0.9210097216769476, 0.9297043786523091, 0.9427718233667026, 0.9372087703883977, 0.9477429254937567, 0.942969138451044, 0.9466545012115773, 0.9563166469500209, 0.9472273575008244, 0.9541970837182103, 0.9479020491489389, 0.9482966839279259]","[0.8936632436942, 0.551427389294403, 0.400676559471623, 0.3526461383749767, 0.2908595330930876, 0.25184490738529197, 0.23640394245804344, 0.20160984441905555, 0.19166777820136008, 0.17448527644805156, 0.1434782449238373, 0.1574156047436743, 0.1391568499416607, 0.13505625401145022, 0.1262440642506625, 0.11389698276491785, 0.12190716055052056, 0.11480600275716729, 0.12587435613000425, 0.12951689864411045]",367.2595064640045,"[0.733520313449528, 0.7110799214114314, 0.7545581822809966, 0.798036436671796, 0.7720897405043893, 0.8085553775662961, 0.8359046047148497, 0.8050490617752075, 0.8057503207870151, 0.8232818764189015, 0.8387096524238586, 0.848527325236279, 0.8429172259310017, 0.8520336280698362, 0.8562412106472513, 0.8548386887363766, 0.8569424722505652, 0.8583449967529463, 0.8639550947624705, 0.8590462622435197]","[0.7078858123201391, 0.7351562578393065, 0.6316954856333525, 0.6113555931850619, 0.6609621444798034, 0.5874099971159644, 0.49589057169530704, 0.5996920908598796, 0.5853046459834212, 0.5397201500347127, 0.5155549151013079, 0.5074163824724762, 0.5229795752498119, 0.4860315160299449, 0.4748260267180107, 0.46449904530511604, 0.46755920486200764, 0.4727446474539845, 0.464464693431459, 0.459579205494779]"
6_1,complete,46.0,20.0,0.0003488117481864944,adam,0.48888266597008156,971.0,0.00024140579846806146,True,249.4310438632965,82800.0,1722684097.2047875,1722683847.3332407,1642.6645619869232,249.4310438632965,0.4681801381971567,14.0,"[0.9300818135503863, 0.9490208181201435, 0.9682652896544972, 0.9714557308642591, 0.9809337180168902, 0.9846756985930146, 0.9258392057457908, 0.9235227415796186, 0.9379560952303839, 0.9308454838932537, 0.9462631222654562, 0.9511421220224412, 0.951286370636987, 0.9579302956823443]","[0.1726752938244675, 0.12199654713364654, 0.08271461407669255, 0.0710267388322925, 0.04778618444154253, 0.03824189736805551, 0.20162307141257113, 0.20337233329039128, 0.16424948015234997, 0.17399933033424322, 0.14107504454975733, 0.1251436434686184, 0.12963310345152362, 0.11334008175391154]",249.4310438632965,"[0.778209876629614, 0.7690297134460942, 0.8218156483865553, 0.8288282713582439, 0.8021802998358204, 0.8366059122547027, 0.8506311543526188, 0.8119979769952835, 0.8042203437897467, 0.8280632592016651, 0.8407497348323945, 0.8399847188303547, 0.8555399967778113, 0.8695652388757275]","[0.7170561811616344, 0.725182326570634, 0.6079650093470851, 0.6138353311727124, 0.7517451355534215, 0.6167357632469747, 0.5090373763514142, 0.5789242929989292, 0.644449802175645, 0.5603348511841989, 0.5145255332031557, 0.5315115927688537, 0.47872224344962067, 0.4681801381971567]"
138_1,complete,35.0,20.0,0.0006178500365524748,rmsprop,0.3410751764229804,788.0,8.966523131561207e-05,True,451.0621283054352,82800.0,1722722979.1433573,1722722527.2576153,39760.50295710564,451.0621283054352,0.47508988612212194,20.0,"[0.6852928293602807, 0.805834084193899, 0.8480257410440386, 0.8710958372732127, 0.8795474782493544, 0.8997781780195533, 0.9120230752488842, 0.925044369993743, 0.9253327461503307, 0.9243123379553327, 0.9349822576001564, 0.9438553715344542, 0.9485359391810732, 0.9496007128531888, 0.9477595416655452, 0.9524844747892818, 0.9475820793868592, 0.9539707214195535, 0.9543921943777096, 0.9519077224761062]","[0.8305456740145357, 0.5055551667761359, 0.3989769025063663, 0.34436797938361674, 0.3216806425718787, 0.25800590133815077, 0.21813963432304606, 0.2008004241987415, 0.19921959122145397, 0.19069023930137943, 0.16232331318098195, 0.14273403170778884, 0.13439351454469728, 0.13406222239599463, 0.1286100009514123, 0.11993824659343462, 0.12614537391996716, 0.11883432998304597, 0.11432038439634423, 0.12760533108983352]",451.0621283054352,"[0.7090592500640125, 0.7073170891622218, 0.6968641295665647, 0.7721254491224522, 0.7902439149414621, 0.7965156915711193, 0.8090592448304339, 0.8229965262296723, 0.8202090699498247, 0.8271777106494438, 0.8292683028593296, 0.8313588950692153, 0.8243902543695961, 0.8459930405384157, 0.8445993123984918, 0.8404181279787203, 0.8369338076289107, 0.8480836327483015, 0.8480836327483015, 0.861324050077578]","[0.8040797063490239, 0.9301681220531464, 0.8400927570807498, 0.6701803759830754, 0.5758044415766873, 0.5654186458644889, 0.5789893420140554, 0.5286095730134104, 0.5053025470775404, 0.5135079723622766, 0.5101856937705257, 0.5187311300598993, 0.542884647647464, 0.48498009263875713, 0.48302970058178224, 0.5157147770841243, 0.49682384259642454, 0.48642753661864313, 0.5056437092216362, 0.47508988612212194]"
99_1,complete,60.0,20.0,0.011331762041303865,adam,0.6147421566453571,373.0,7.520563615135082e-05,True,396.1214282512665,82800.0,1722709916.7144203,1722709520.1562011,27207.804595947266,396.1214282512665,0.4769977355996768,20.0,"[0.6418946661213611, 0.7417933560432272, 0.7723404689038054, 0.7929331755384486, 0.8302938659140404, 0.8474164560754248, 0.8471884930387457, 0.8584346967808744, 0.878444826983391, 0.877305010531811, 0.8782421921161895, 0.8904002467368511, 0.9013424978611317, 0.9082067342514687, 0.9118288172052261, 0.9187437118367946, 0.9187437086663348, 0.9252533348316841, 0.9178571884936475, 0.9249240572148181]","[1.0269591174227126, 0.8851329966428432, 0.7096582277024046, 0.653288243298835, 0.4920973008934488, 0.424160861271493, 0.42700173594850177, 0.3821180244075491, 0.3250965011563707, 0.32834680521107734, 0.34374287724494934, 0.29364362580979125, 0.27361620463272357, 0.25631905783047065, 0.23467713721255037, 0.21656980587446945, 0.21711609013220098, 0.19700994247451742, 0.2140907492250838, 0.20604842909156007]",396.1214282512665,"[0.598548005024592, 0.6657197376092275, 0.7099747881293297, 0.5950757910807928, 0.7446970095237097, 0.7384470105171204, 0.7401515568296114, 0.754040444890658, 0.7994949892163277, 0.7345959966381391, 0.7595960001150767, 0.7653409490982691, 0.7811237797141075, 0.7686237792174021, 0.825189433991909, 0.7948232814669609, 0.8321338842312495, 0.8349116643269857, 0.8330177217721939, 0.8467172135909399]","[1.235131911933422, 0.9019862823188305, 0.8211065245171388, 2.0026573141415915, 0.6591838300228119, 0.8455940696100394, 0.681488461792469, 0.6857092926899592, 0.5792134739458561, 0.7782203406095505, 0.6741809671123823, 0.6259090260912975, 0.6419477555900812, 0.6507110670208931, 0.5188457363595566, 0.604683273161451, 0.4952739868313074, 0.48045801060895127, 0.4978063330054283, 0.4769977355996768]"
190_1,complete,25.0,20.0,0.02666852365154659,adamw,0.13848311311537004,1274.0,0.018943804469626433,True,257.2199411392212,82800.0,1722739552.7436543,1722739295.1187665,56036.451447725296,257.2199411392212,0.48332469555827084,14.0,"[0.862933308813307, 0.8876444204648336, 0.9075333099895053, 0.9288888663715786, 0.9429333117273119, 0.9475555361641778, 0.8989777538511489, 0.9053777525160047, 0.9030666420194837, 0.8964666430155436, 0.9062666429413689, 0.9096444198820326, 0.9130221984121535, 0.9201777548260159]","[0.3282835764023993, 0.2821689571605788, 0.2354112308555179, 0.18310247068603833, 0.14745424324439632, 0.13275204253279502, 0.2567724378903707, 0.250920658301976, 0.25462822632657156, 0.2677305179999934, 0.23619846178425682, 0.2325652768711249, 0.23896816261940532, 0.21669347037871678]",257.2199411392212,"[0.7663157697309527, 0.7929824329259103, 0.8021052417002226, 0.8147368201038294, 0.7880701527260897, 0.8049122586584928, 0.8154385738205492, 0.7943859403593498, 0.8028069943712469, 0.8161403264915734, 0.8084210324705693, 0.8140350632500231, 0.8077192745710674, 0.8224561203990066]","[0.6023419781081509, 0.5748162800282762, 0.536863615466772, 0.5278244357833868, 0.5971425740342391, 0.5437157260123313, 0.5183249315279618, 0.5826122784791025, 0.546781204175204, 0.5089968568890503, 0.5166416450550682, 0.5007724942018589, 0.4875268913282637, 0.48332469555827084]"
78_1,complete,45.0,20.0,0.0020807425018215713,adam,0.31109757287263595,1130.0,6.138971298258256e-05,True,378.182639837265,82800.0,1722704067.7459111,1722703689.1715918,21404.03635287285,378.182639837265,0.4852326847612858,20.0,"[0.6786793829202652, 0.787936520576477, 0.8420952477455139, 0.8620381035804748, 0.8723174681663514, 0.8828381023406983, 0.8839047689437867, 0.9023619108200073, 0.893898419380188, 0.9077650852203369, 0.9351809563636779, 0.9362476229667663, 0.9392000036239624, 0.944603178024292, 0.9457396860122681, 0.9443555588722229, 0.9420761942863465, 0.9501142888069153, 0.9521396856307983, 0.9556952409744263]","[0.8610008068084717, 0.5585202844142914, 0.41273999226093294, 0.3734288830161095, 0.34368161875009534, 0.308495290517807, 0.3037315661907196, 0.26549751740694044, 0.28266720283031466, 0.23686227902770043, 0.1771725136935711, 0.16463831570744514, 0.16556937545537947, 0.14133028794825078, 0.13945491586625575, 0.1453873923420906, 0.14079031844437123, 0.13411627233028411, 0.12289185847342014, 0.11488950534164906]",378.182639837265,"[0.6951389070600271, 0.6805555745959282, 0.7562500145286322, 0.7902777902781963, 0.7399801760911942, 0.769146841019392, 0.775396840646863, 0.7740079518407583, 0.7798611242324114, 0.8131944555789232, 0.8173611219972372, 0.8309523928910494, 0.8243055660277605, 0.8465277869254351, 0.8493055645376444, 0.8375000096857548, 0.854861119762063, 0.8166666775941849, 0.852777786552906, 0.8455357253551483]","[0.861855570692569, 0.833242668537423, 0.7017778463778086, 0.6413248432800174, 0.7764689386822283, 0.6289980951696634, 0.6840135590173304, 0.7270437385886908, 0.6449420085409656, 0.5256707741646096, 0.5308956371154636, 0.5250248215161264, 0.5879190202103928, 0.5069721543695778, 0.513936371426098, 0.5281339671928436, 0.5054227326763794, 0.5463845746126026, 0.4698706893250346, 0.4852326847612858]"
266_1,complete,36.0,20.0,0.0001600211199802943,adam,0.3836406485044205,786.0,0.000282296170992093,True,259.36223435401917,82800.0,1722760344.3966248,1722760084.655087,76651.39134144783,259.36223435401917,0.4858775876271419,14.0,"[0.9338878798179138, 0.9609534067985339, 0.970390722919733, 0.9766737898954978, 0.9848646716429637, 0.9762667918052429, 0.9159289892667379, 0.917531553369302, 0.9258241871228585, 0.9255952498851678, 0.9340150711628107, 0.9328958181998669, 0.9354395751769726, 0.934778195925248]","[0.1589695108600725, 0.09302743746994589, 0.0709877486866063, 0.05413400893881678, 0.039942977318647675, 0.06088262429544463, 0.2080733472099289, 0.20425328094130143, 0.1898036108304484, 0.18979598784771484, 0.16515088407322764, 0.16842547334873906, 0.17650264357097256, 0.16219712796812066]",259.36223435401917,"[0.8188788401774871, 0.7953326686834677, 0.830191052876986, 0.8417127575629797, 0.8132227322994134, 0.8252890950594193, 0.8367270032564799, 0.8088654279708862, 0.8146891288268261, 0.832411602521554, 0.8367689007367843, 0.8424669045668381, 0.8439333056792234, 0.8510558100847098]","[0.5422325432300568, 0.6080645292233198, 0.5593949926969333, 0.5377664447594912, 0.5884442803187248, 0.5560504813224841, 0.5340780627269012, 0.5595987569063138, 0.5477761148642271, 0.5084212250434436, 0.49513233395723194, 0.48477171667111224, 0.4911083009762642, 0.4858775876271419]"
61_1,complete,49.0,20.0,0.00014687171122718213,adam,0.24579954238106627,842.0,0.00020512594323425132,True,258.856840133667,82800.0,1722699491.280809,1722699232.009909,16965.62899684906,258.856840133667,0.48768084727484606,14.0,"[0.9289747315904369, 0.9653545110122017, 0.972275540103083, 0.9781721296517746, 0.9847382379614789, 0.9884649484053902, 0.9220295066418855, 0.9261353352795476, 0.9280067573422971, 0.9333709582038547, 0.9331934934077055, 0.9346131920814514, 0.9353633725124857, 0.9373719277589218]","[0.1856507204796957, 0.09134523058715074, 0.07268788131844739, 0.05527518597310004, 0.043116121330177004, 0.032448437763378024, 0.21800453763293184, 0.19667759557133135, 0.18604073088778103, 0.17982826015871503, 0.17455192820533463, 0.16414021059222844, 0.18181539754504744, 0.15489270424713258]",258.856840133667,"[0.8220267234177425, 0.8130658947188278, 0.8175463142066166, 0.825991075614403, 0.8096176200899584, 0.8238798770411261, 0.8407693936907011, 0.8124325419294423, 0.8258034073073288, 0.822097098005229, 0.8295800932522478, 0.8372507568063408, 0.8332864046096802, 0.8403237030423921]","[0.5464946720106848, 0.5490308948631945, 0.560837735389841, 0.5459867633622268, 0.6067857094879808, 0.5847112988603527, 0.4982488525324854, 0.5726384510254038, 0.516392359445835, 0.5143354833126068, 0.49990470964333106, 0.5005195223051926, 0.4965116700221752, 0.48768084727484606]"
